Id,SalePrice
1461,127086.75
1462,151143.5
1463,183668.05
1464,180309.05
1465,188219.1
1466,181923.4
1467,162676.0
1468,173421.13
1469,183940.54
1470,123726.93
1471,193689.34
1472,96220.0
1473,91879.0
1474,148054.5
1475,115286.5
1476,311922.11
1477,244964.24
1478,290877.81
1479,295482.18
1480,287893.02
1481,314889.24
1482,207751.7
1483,198792.47
1484,156902.64
1485,161772.59
1486,194154.4
1487,309779.36
1488,243021.45
1489,197156.48
1490,217182.19
1491,196889.13
1492,108354.77
1493,178861.5
1494,286763.16
1495,279915.44
1496,248626.9
1497,181743.35
1498,154629.96
1499,153059.31
1500,159671.97
1501,176696.71
1502,137015.86
1503,236294.51
1504,224774.0
1505,228490.26
1506,189459.05
1507,280759.01
1508,230918.0
1509,174759.5
1510,156428.0
1511,155776.5
1512,174349.5
1513,168246.5
1514,153809.07
1515,212443.0
1516,173680.0
1517,140833.93
1518,144211.98
1519,223281.53
1520,132486.75
1521,148685.5
1522,162822.0
1523,129577.25
1524,123484.0
1525,127894.0
1526,131989.0
1527,95053.17
1528,120709.6
1529,143164.75
1530,151567.5
1531,145603.48
1532,93171.8
1533,127645.25
1534,116502.75
1535,156448.0
1536,117472.55
1537,93845.76
1538,144262.5
1539,150823.0
1540,141648.0
1541,146113.93
1542,155092.18
1543,184309.0
1544,90473.5
1545,104483.47
1546,114449.0
1547,140180.02
1548,132529.68
1549,85094.58
1550,153258.34
1551,111394.3
1552,151588.5
1553,152627.34
1554,116440.34
1555,190614.74
1556,116979.77
1557,125252.87
1558,92345.43
1559,143030.01
1560,137693.64
1561,159035.1
1562,115289.46
1563,114928.22
1564,150325.24
1565,160542.13
1566,222768.0
1567,95180.69
1568,232573.0
1569,166821.48
1570,113030.18
1571,139698.84
1572,130975.75
1573,254727.1
1574,134826.25
1575,194300.24
1576,211235.1
1577,203033.66
1578,148123.0
1579,138348.5
1580,195297.85
1581,130818.27
1582,126937.83
1583,269342.64
1584,242116.2
1585,138380.0
1586,78692.73
1587,95417.93
1588,129512.33
1589,130396.26
1590,122162.1
1591,108667.35
1592,117722.81
1593,117554.93
1594,191333.71
1595,149243.0
1596,232837.0
1597,218264.06
1598,191388.95
1599,131702.33
1600,162625.42
1601,62166.57
1602,91890.32
1603,93042.46
1604,264069.52
1605,249194.39
1606,171056.5
1607,188528.68
1608,206053.57
1609,189129.65
1610,169022.79
1611,154310.55
1612,192576.48
1613,184834.73
1614,110621.5
1615,85438.93
1616,84487.93
1617,86807.93
1618,115973.5
1619,132071.5
1620,228797.51
1621,160790.56
1622,151565.84
1623,250409.38
1624,243959.66
1625,127498.75
1626,178702.55
1627,178772.4
1628,249950.52
1629,178363.42
1630,274928.45
1631,198563.35
1632,248289.4
1633,160990.09
1634,183493.35
1635,175365.72
1636,164535.23
1637,201418.9
1638,200883.0
1639,179353.55
1640,229490.17
1641,179031.0
1642,222706.75
1643,236114.16
1644,225945.65
1645,186514.05
1646,157466.5
1647,159889.0
1648,139981.07
1649,135741.75
1650,120739.33
1651,120868.83
1652,96515.0
1653,98160.0
1654,157784.36
1655,129808.59
1656,148760.85
1657,156734.36
1658,149316.85
1659,116866.0
1660,141302.37
1661,310968.98
1662,317703.33
1663,288489.49
1664,289595.58
1665,299938.58
1666,295590.32
1667,301004.03
1668,284875.1
1669,250103.62
1670,301218.75
1671,279812.45
1672,296210.33
1673,297127.71
1674,257614.71
1675,207399.81
1676,208378.58
1677,199204.09
1678,293465.04
1679,290841.72
1680,272985.35
1681,219432.29
1682,297686.77
1683,197786.11
1684,170003.85
1685,174476.99
1686,184765.5
1687,160169.35
1688,185474.35
1689,181170.05
1690,178223.81
1691,163817.18
1692,220593.9
1693,160235.13
1694,176216.44
1695,171449.61
1696,295785.97
1697,171320.61
1698,314689.21
1699,260096.94
1700,250639.76
1701,257774.32
1702,267989.26
1703,259641.66
1704,264973.15
1705,197886.12
1706,275104.34
1707,217546.07
1708,214241.55
1709,240008.82
1710,203184.33
1711,226949.4
1712,225189.8
1713,256637.46
1714,227574.0
1715,200394.35
1716,184675.45
1717,152662.0
1718,146735.31
1719,207682.15
1720,231106.3
1721,148712.37
1722,129442.25
1723,148701.37
1724,219255.56
1725,210514.66
1726,201658.0
1727,184396.18
1728,181355.09
1729,160684.32
1730,157578.56
1731,135056.33
1732,124763.48
1733,118212.8
1734,134323.25
1735,122582.83
1736,122500.66
1737,257428.19
1738,203200.75
1739,286566.2
1740,261730.18
1741,173055.01
1742,171377.71
1743,173441.51
1744,215936.0
1745,235123.5
1746,187840.0
